theta,t
93.0,15.0
92.0,25.0
91.0,35.0
90.0,55.0
89.0,66.0
88.0,85.0
87.0,105.0
86.0,120.0
85.0,140.0
84.0,155.0
83.0,180.0
82.0,200.0
81.0,230.0
80.0,245.0
79.0,285.0
78.0,300.0
77.0,315.0
76.0,345.0
75.0,375.0
74.0,400.0
73.0,437.0
72.0,465.0
71.0,500.0
70.0,540.0
69.0,575.0
68.0,600.0
67.0,645.0
66.0,700.0
65.0,740.0
64.0,780.0
63.0,830.0
62.0,865.0
61.0,930.0
60.0,1000.0
59.0,1040.0
58.0,1110.0
57.0,1200.0
56.0,1260.0
55.0,1310.0
54.0,1400.0
53.0,1460.0
52.0,1545.0
51.0,1640.0
50.0,1730.0
49.0,1860.0
48.0,1960.0
47.0,2085.0
46.0,2170.0
45.0,2335.0
44.0,2475.0
43.0,2640.0
42.0,2850.0
41.0,2940.0
40.0,3220.0
