theta,t
91.0,10.0
90.0,16.0
89.0,19.0
88.0,26.0
87.0,33.0
86.0,42.0
85.0,48.0
84.0,60.0
83.0,70.0
82.0,76.0
81.0,90.0
80.0,100.0
79.0,110.0
78.0,120.0
77.0,120.0
76.0,135.0
75.0,140.0
74.0,150.0
73.0,170.0
72.0,180.0
71.0,190.0
70.0,200.0
69.0,215.0
68.0,225.0
67.0,240.0
66.0,250.0
65.0,270.0
64.0,280.0
63.0,295.0
62.0,315.0
61.0,330.0
60.0,350.0
59.0,375.0
58.0,385.0
57.0,408.0
56.0,420.0
55.0,445.0
54.0,470.0
53.0,485.0
52.0,520.0
51.0,540.0
50.0,560.0
49.0,595.0
48.0,620.0
47.0,650.0
46.0,700.0
45.0,720.0
44.0,755.0
43.0,800.0
42.0,835.0
41.0,873.0
40.0,917.0
39.0,977.0
38.0,1026.0
37.0,1085.0
36.0,1180.0
35.0,1240.0
34.0,1280.0
33.0,1380.0
32.0,1450.0
31.0,1575.0
30.0,1680.0
29.0,1790.0
28.0,1905.0
27.0,2100.0
26.0,2275.0
25.0,2515.0
24.0,2765.0
23.0,3570.0
