theta,t
89.0,50.0
88.0,80.0
87.0,150.0
86.0,215.0
85.0,270.0
84.0,310.0
83.0,350.0
82.0,440.0
81.0,460.0
80.0,520.0
79.0,570.0
78.0,670.0
77.0,720.0
76.0,765.0
75.0,840.0
74.0,895.0
73.0,960.0
72.0,1040.0
71.0,1085.0
70.0,1175.0
69.0,1250.0
68.0,1330.0
67.0,1440.0
66.0,1530.0
65.0,1570.0
64.0,1710.0
63.0,1760.0
62.0,1830.0
61.0,1980.0
60.0,2040.0
59.0,2180.0
58.0,2250.0
57.0,2370.0
56.0,2480.0
55.0,2610.0
54.0,2760.0
53.0,2880.0
52.0,3050.0
51.0,3280.0
50.0,3360.0
49.0,3560.0
48.0,3730.0
47.0,3875.0
46.0,4053.0
45.0,4223.0
44.0,4540.0
43.0,4610.0
42.0,4860.0
41.0,5040.0
40.0,5422.0
39.0,5633.0
37.0,6293.0
