theta,t
89.0,13.0
88.0,22.0
87.0,34.0
86.0,50.0
85.0,70.0
84.0,83.0
83.0,100.0
82.0,110.0
81.0,130.0
80.0,150.0
79.0,175.0
78.0,195.0
77.0,220.0
76.0,245.0
75.0,275.0
74.0,295.0
73.0,310.0
72.0,350.0
71.0,375.0
70.0,390.0
69.0,423.0
68.0,450.0
67.0,493.0
66.0,520.0
65.0,555.0
64.0,580.0
63.0,626.0
62.0,655.0
61.0,700.0
60.0,735.0
59.0,800.0
58.0,830.0
57.0,880.0
56.0,905.0
55.0,955.0
54.0,1000.0
53.0,1040.0
52.0,1105.0
51.0,1170.0
50.0,1200.0
49.0,1250.0
48.0,1310.0
47.0,1380.0
46.0,1445.0
45.0,1545.0
44.0,1590.0
43.0,1685.0
42.0,1773.0
41.0,1863.0
40.0,1940.0
